x: 3 | y: 3 | z: 9 - 0.623105
x: 4 | y: 3 | z: 9 - 0.612149
x: 5 | y: 3 | z: 9 - 0.613224
x: 6 | y: 3 | z: 9 - 0.622583
x: 7 | y: 3 | z: 9 - 0.654857
x: 8 | y: 3 | z: 9 - 0.724696
x: 9 | y: 3 | z: 9 - 0.844287
x: 0 | y: 4 | z: 0 - 0.839614
x: 1 | y: 4 | z: 0 - 0.716762
x: 2 | y: 4 | z: 0 - 0.644565
x: 3 | y: 4 | z: 0 - 0.612395
x: 4 | y: 4 | z: 0 - 0.601533
x: 5 | y: 4 | z: 0 - 0.602061
x: 6 | y: 4 | z: 0 - 0.612151
x: 7 | y: 4 | z: 0 - 0.644809
x: 8 | y: 4 | z: 0 - 0.716741
x: 9 | y: 4 | z: 0 - 0.839635
x: 0 | y: 4 | z: 1 - 0.716762
x: 1 | y: 4 | z: 1 - 0.500302
x: 2 | y: 4 | z: 1 - 0.374309
x: 3 | y: 4 | z: 1 - 0.317627
x: 4 | y: 4 | z: 1 - 0.300978
x: 5 | y: 4 | z: 1 - 0.299393
x: 6 | y: 4 | z: 1 - 0.319208
x: 7 | y: 4 | z: 1 - 0.373912
x: 8 | y: 4 | z: 1 - 0.500697
x: 9 | y: 4 | z: 1 - 0.716741
x: 0 | y: 4 | z: 2 - 0.644565
x: 1 | y: 4 | z: 2 - 0.374309
x: 2 | y: 4 | z: 2 - 0.216921
x: 3 | y: 4 | z: 2 - 0.150370
x: 4 | y: 4 | z: 2 - 0.125609
x: 5 | y: 4 | z: 2 - 0.130509
x: 6 | y: 4 | z: 2 - 0.147733
x: 7 | y: 4 | z: 2 - 0.219543
x: 8 | y: 4 | z: 2 - 0.373911
x: 9 | y: 4 | z: 2 - 0.644947
x: 0 | y: 4 | z: 3 - 0.612395
x: 1 | y: 4 | z: 3 - 0.317627
x: 2 | y: 4 | z: 3 - 0.150370
x: 3 | y: 4 | z: 3 - 0.073479
x: 4 | y: 4 | z: 3 - 0.058359
x: 5 | y: 4 | z: 3 - 0.049904
x: 6 | y: 4 | z: 3 - 0.081874
x: 7 | y: 4 | z: 3 - 0.147726
x: 8 | y: 4 | z: 3 - 0.320242
x: 9 | y: 4 | z: 3 - 0.612149
x: 0 | y: 4 | z: 4 - 0.601533
x: 1 | y: 4 | z: 4 - 0.300978
x: 2 | y: 4 | z: 4 - 0.125609
x: 3 | y: 4 | z: 4 - 0.058359
x: 4 | y: 4 | z: 4 - 0.026005
x: 5 | y: 4 | z: 4 - 0.040647
x: 6 | y: 4 | z: 4 - 0.049850
x: 7 | y: 4 | z: 4 - 0.133995
x: 8 | y: 4 | z: 4 - 0.299381
x: 9 | y: 4 | z: 4 - 0.603019
x: 0 | y: 4 | z: 5 - 0.602061
x: 1 | y: 4 | z: 5 - 0.299393
x: 2 | y: 4 | z: 5 - 0.130509
x: 3 | y: 4 | z: 5 - 0.049904
x: 4 | y: 4 | z: 5 - 0.040647
x: 5 | y: 4 | z: 5 - 0.025607
x: 6 | y: 4 | z: 5 - 0.064493
x: 7 | y: 4 | z: 5 - 0.125541
x: 8 | y: 4 | z: 5 - 0.304262
x: 9 | y: 4 | z: 5 - 0.601527
x: 0 | y: 4 | z: 6 - 0.612151
x: 1 | y: 4 | z: 6 - 0.319208
x: 2 | y: 4 | z: 6 - 0.147733
x: 3 | y: 4 | z: 6 - 0.081874
x: 4 | y: 4 | z: 6 - 0.049850
